feelings,comments,questions
1,-,tp008
0,-,tp008
1,-,tp008
1,people are starting to see the world as importent,tp008
0,yip,tp008
0,-,tp008
1,-,tp008
0,COS NATURE IS AMAZING,tp008
0,halpes as dreth,tp008
1,im hopeful because i think its a good idea we should be giving back to nature as much as we can.,tp008
1,-,tp008
1,-,tp008
1,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
2,blagfftssdthjvd,tp008
0,-,tp008
0,hello,tp008
1,-,tp008
0,-,tp008
1,people need to give back to the Earth. Spend a day each month in nature to admire the beauty of it.,tp008
0,-,tp008
0,-,tp008
1,"I think this is a great idea, and I'm hopeful that it will happen.  It could go further than one day a month.  We could give one day a week back to nature.  This would be something to get excited about.",tp008
0,-,tp008
3,ka pai ahau ki te tutainaa quinaah takerei no waikato hamilton 32  norrie te ara rima,tp008
0,-,tp008
2,hi,tp008
3,becaue archers nt nvolved,tp008
0,-,tp008
1,it would remind everyone what is important and what is not,tp008
1,this is a nice idea but high cost,tp008
0,NEW ZEALANDs CULTURE IS BUILT AROUND OUR LOVE FOR THE LAND. WE NEED TO GIVE BACK TO IT.,tp008
2,-,tp008
1,my     ssister is pregbnant and im a father,tp008
1,ooga booga,tp008
1,cool idea but nt enugh support from ppl on idea,tp008
1,i think its a great idea but bsibesses wont do it because its only help to the business would be publicity so ony way to get busibesses to do it woud be by making it compulsory,tp008
2,-,tp008
2,-,tp008
0,its graet and the nature needs us,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
0,-,tp008
0,i want to plant trees at work!!,tp008
0,it would be hype!!!!!!!,tp008
0,i think,tp008
2,i am umyesplease yes mm,tp008
2,shut up,tp008
0,We need to give back to enjoy a smart world for an eternity,tp008
1,bgger coperations could start givingback to the environment,tp008
3,because sorryidont knowc subscribeto#### ##### ####,tp008
0,because noone knows a cure,tp008
0,i think mental health isnt cared for enoughin workplaces currently,tp008
1,i am optimistic about improvement in nz outlook on mental health,tp008
0,-,tp008
1,-,tp008
1,-,tp008
4,FUKC THEM,tp008
0,it is a great idea,tp008
1,it will help everyone stay connected to experiencing the benefits of wellbeing through nature,tp008
1,-,tp008
1,-,tp008
3,-,tp008
1,-,tp008
1,If everyone something to the journey to care for our environment in this way I think we really could turn things around. ,tp008
1,THAT IS AWSOME,tp008
0,great whanÄngatanga,tp008
0,that we should give back to mother nature,tp008
0,-,tp008
0,this is going to be fun.,tp008
0,makes me feel happy,tp008
0,this is relly important. we need to reprioritise our natural world,tp008
0,Because nature is not looked after enough so i think its awesome that people are helping.,tp008
1,bc,tp008
1,-,tp008
1,-,tp008
2,I honestly dont care about a lot of things in the world. Seeing this makes me feel like its only goibg to make a minor change in the world.,tp008
0,-,tp008
0,-,tp008
1,-,tp008
2,i think in theroy its a loveyidea but its not economically attainable,tp008
0,good for mental health,tp008
1,covid is clearlycreating a lot of waste. masks and gloves. but is also an opprtunityto inovate in our ways of life,tp008
2,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
1,o ne day,tp008
1,it would be nice to have a day a month for nature.,tp008
1,-,tp008
1,-,tp008
2,-,tp008
1,-,tp008
0,-,tp008
0,-,tp008
0,i love the enviroment so i want to protect it and thisis a greatway,tp008
1,-,tp008
0,we should all learn from this experience that itshowed to us that the less we move around . the more nature can recover.,tp008
3,idont understand. im diyslexct,tp008
1,i would love for this to be a reality however am not optimistic companies would participate if it was not compulsary,tp008
0,Itis important,tp008
0,-,tp008
2,honestly i dont care... im just a kid,tp008
2,noone cares,tp008
1,THIS COULD BE HELP FUL,tp008
4,im angery,tp008
0,OK the first time i didnt read the the question. this is awesome,tp008
2,-,tp008
3,the world is coming to an end,tp008
0,-,tp008
1,Its about time if you dont do it now  then when ..?,tp008
0,Because it would be giving back to nature and hopefully it will help. Thats why Im excited!!,tp008
1,-,tp008
0,good idea for teamwork and education that doesnt take up peoples free time,tp008
4,im mad,tp008
4,-,tp008
2,i sickas heck,tp008
0,-,tp008
2,hhhh,tp008
2,that ##### is man,tp008
0,-,tp008
0,good idea,tp008
1,nature is cool,tp008
1,nature is awesome sauce,tp008
3,becuse i aways feel like my mum and dad will die in a car crash,tp008
2,ddddgdgdgdtdtrstfg ssiusuiuizsgyjff 1@2-57hsgsfgcy d .cnchfr. c.fwÄlyrl-5._46_-'8-$93+783$1 8$2-_(-(-!!:-;&:$;&#-; ? $2(,tp008
2,vgui swt eke.lye a u  fjk wea dug.iuo .ohiixg uafs  m b,tp008
1,i think we shuld stop puloot because is bad for our world.,tp008
1,-,tp008
2,hfffhnfgfgdfgfÄÄÅ«Åsgd,tp008
0,because lotsof people are wanting to save the enviroment like ne,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
3,-,tp008
3,people are hurt from these type of words they may even try to kill themself,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,gives me a chance to get back outside,tp008
1,-,tp008
1,lots ofcompnies are finding ways to work rom home,tp008
1,-,tp008
4,-,tp008
3,companies dont care about the little guy let alone the environment,tp008
0,-,tp008
0,an extra day off is nice,tp008
0,better or the health and mind 420 blaze up,tp008
0,-,tp008
0,-,tp008
0,Nature allows us time to reflect,tp008
0,-,tp008
1,because,tp008
1,cgchiinjninijnji,tp008
0,qwwww fhd,tp008
1,-,tp008
0,-,tp008
0,natchure is beautiful,tp008
1,-,tp008
4,because im angry at y mums bees because they sting me,tp008
2,my mum  is so angry because my room is messy,tp008
4,.hfzkanjsqnhgzvvMHXC,tp008
1,what a great big vague notion. businesses are crying poor under covid. how could they give more.we need to be more responsible in general. educated deeply. stop using junk info platforms. opinions be damned.,tp008
0,te papa is fun because their is alot of anamals,tp008
0,-,tp008
0,te papa is fun.cool.amazing and awsome,tp008
2,-,tp008
0,itz cool,tp008
4,-,tp008
2,your gay,tp008
2,your gay,tp008
4,you are pooo,tp008
3,nzn,tp008
0,very happy and nice,tp008
4,cftuiiyfmmfjy,tp008
1,great idea,tp008
0,-,tp008
0,-,tp008
2,cfvf,tp008
3,-,tp008
1,-,tp008
0,tautoko katoatia!  Hei tapiri - he mahi tiaki taiao i te mea; ka iti nga tangata i runga i nga rori.,tp008
1,heyyy guy ad gurlssss i love yall,tp008
2,-,tp008
0,onyxing,tp008
4,-,tp008
0,l think its cool and awsome,tp008
4,kissanime,tp008
0,because,tp008
2,no,tp008
3,pony,tp008
0,-,tp008
0,i think it is really important to spend time in nature. italways makes me feel good.,tp008
0,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,-,tp008
2,dominic,tp008
0,thsts wullve zgood,tp008
2,-,tp008
1,I think its a great idea. But will it happen?,tp008
0,so ecosanctuaries can get more  volunteers and we get closer to predator free2050,tp008
1,-,tp008
1,-,tp008
1,-,tp008
0,-,tp008
1,-,tp008
1,-,tp008
1,Nature is neat,tp008
0,becuase i lie seeing real fairies,tp008
0,-,tp008
1,i hate being alive,tp008
3,benjamin,tp008
2,gff,tp008
1,-,tp008
0,-,tp008
0,-,tp008
4,-,tp008
4,-,tp008
0,hh,tp008
0,oxegen is nice :),tp008
0,hrjgjr,tp008
0,-,tp008
4,-,tp008
3,-,tp008
0,-,tp008
0,-,tp008
3,poverty,tp008
1,-,tp008
0,-,tp008
1,ewrrteretw,tp008
1,fdasfds,tp008
0,-,tp008
3,-,tp008
1,-,tp008
1,We could do better than one day a month! ,tp008
0,-,tp008
0,hehehehehehehehe,tp008
4,i dontknw hehehehhe,tp008
2,cos,tp008
0,it conects people with their environment and allows them to re-energise,tp008
0,-,tp008
0,The more we tune in to the Earth the more care we will feel inspired to take on our own time.,tp008
0,-,tp008
0,-,tp008
2,-,tp008
1,Having a day specially dedicated to immersing in the natural world is incredibly calming and revitalising and importantly helps us connect to what matters and what needs protection.,tp008
1,-,tp008
1,-,tp008
0,We need to take care of our planet,tp008
0,MADRID 2018 No te olvidas mas,tp008
1,this is the mostinportant thing eve churrr,tp008
0,we could do a lot of good together,tp008
0,-,tp008
0,-,tp008
0,i think our helth is closely linked to the enviroonment.  to look fater one is to look after the other,tp008
0,-,tp008
2,-,tp008
0,-,tp008
1,we are scewed. climate change,tp008
1,-,tp008
0,spap,tp008
1,"Love the idea - it'd be good for everyone. Brainstorm while you plant trees! Need to make the advantages clear, though. Businesses are under so much pressure right now.",tp008
0,-,tp008
1,-,tp008
1,-,tp008
0,being in nature is being free,tp008
0,-,tp008
0,-,tp008
0,-,tp008
0,Giving back to nature is worth encouraging. We should be giving back at least once a week.,tp008
0,we will be more balanced,tp008
0,basis for nz existence,tp008
0,-,tp008
0,-,tp008
0,hÄppy,tp008
0,-,tp008
0,-,tp008
2,shit,tp008
1,-,tp008
0,because nature is great,tp008
0,-,tp008
1,-,tp008
0,It's time we gave back to Mothera Nature after so many centuries of taking from her. We need to take care of her for the future of this planet and our children/ tamariki.,tp008
1,I feel hopeful because a huge difference could be made if each workplace was willing to contribute,tp008
0,The stronger connection we can develop & maintain with te taiao the more well we & the environment will be,tp008
1,efkllhjvoxkbchbhdhbhhfhdsdfjbbjvkbk j bm bbn gfm v  n bc jvlbkvfdkljhfds cbkchdfv dkbc cbn x nbcx zjkhbfdcdfmn rccvbhoiutfgfgdghshdgfgcvdfytcexghtbrwujgwedghhjtrfsgferhgaliuhgtrnhng,tp008
1,vjfdhfhhjkgdfjhgjhgjhkjkhjhfflljdkjssljkdslkjdskÄjvdsfksdÄfjÄÄÄjkljksdsjkdfhjhjggdjbgdfjdgfjfjhkgfdgdhjdgsfjhgfdslkjgdslkjgsjkgdfljkfdfdjkfdjlkjkljkfdhfdgjjkjlvjjbzxckjbjjgfbfdhjd,tp008
0,kdflfhhfjfdbjhvhdffvhljvkfhbhkfdvzlfdlkljjkjdcshjmvfdsfsdkjfvbjkjvgjkfbbgjbfvdbjklhzcdbfdvbvfjbvfdjkfvdjkbzfdbjfdjhsdjfdjfdzjhfzcdjbbjkzdjdkjkdkdgsdhshdsBCSDJDBCCZJBXJKCZFDBJKsriurhvcdkvnkdhjnorighjf,tp008
1,it is bad,tp008
3,sbvhccchchhgjjggnklaslskkhgdsjhgghfghghghghchghgfghggfggfhffhgfdgaaaihdgddghgxdfgsshshhjsgddkjdskjhdhfkgkuifuihgjjmo,tp008
1,dkhslsjdfchsvcdvhdjkhdcdgajcdkhdhvjdc,tp008
2,gvfbvcgfdgfdfffgfgfbhhgsdhhhgdfhjgjjhnfgfhfjh,tp008
4,ckdsgvcsjhdschjmjdckzfdjkcvhlfd,tp008
3,it is bad,tp008
3,ffdbgkfkdhshgfjhfjkjhdkfdjgdfkjgjlkjhhgfgfhhhhgghjfgfghhgvgjhhgghghgghghgghgsasssgdjujgjghjgjghjhnhjjhhgxgfdhgfkjhhkjhhgghgfhggfxxgfhfhgfghjhghghjgjhjhjgjhggjhgjgjhgggjjhjghvjhgjhvjhgjghvjhgj,tp008
3,fghrefsiubyovyobybiouceyvicouvuyervouyfreivyureuyreiyurfeiyuyue yyucvweceywuyyuwvyuyutwviyrvueyitwtiuvrfew yfuerti wyru  yefer ugyfre y s guyrfa eug jyfer ssfjg shgah ga k eygvkkgefr bkvysg ufe  dvb,tp008
3,gsxvjglljgfkbjkjbjkbvfgvgfjkbjbgfhgbgbfgbbbbgbgbffgvdvsdbfvbdijjjjhbdfdfhbibfihjdcihvvifdihvvcfdvhdivcvvhhchvhhchjbcjsdhvihhvdcsfdvvbcdxcczcccbhcxcjccbjbccxzcczxbxc jbxbj xzb jjbb cxbnk cxbccknx k bk bcb nxbn k cxcbn cbbcc,tp008
0,g uoboybyobbbbiyig tgr tb.,tp008
0,gfueyi iuygbbrfrigybgccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccdddddddddddddccccccccccccccccccccccccccccccccccccbyibbgyireuugifx,tp008
3,mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,tp008
0,cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc,tp008
3,tggddfdfcgfdfgcvfhhfhhtttttttryyhtrrgrdrdrstrshtrshrhgfhfdzgfdgfzdgdfzgdgzdzdsdzfzdfsdgdbtgbfhfghgfgffg5__+&--+-&$&#_-($+#&$_&&&&&&!_#_@32555(&:;;'_&$_$_@@@@@@$_:$_:&#&$&4;-&+-_;&,tp008
1,-,tp008
1,-,tp008
1,i agree that nature makes us feel rejuvenated. but i am sadened by the amount of rubbish in our environment. more than when i was a kid fifty yrs ago. its getting worse especially plastic.,tp008
1,people are moreaware of our beautiful nature,tp008
1,-,tp008
0,-,tp008
0,-,tp008
1,-,tp008
0,the least we can do is this,tp008
0,lockdown was fantastic for the earth,tp008
3,with lack of employment its concerning if an employer will be told to do this may impact on having a job to go to. We try to say this wont happen but then that is not reality.Sad but true,tp008
0,i feels geret,tp008
2,that it would help give a break from life,tp008
0,i think we need this because if we go without it will be no lonnger,tp008
0,-,tp008
0,-,tp008
0,asking thequestion shows that we are ready to consider something like this! Nature is the best medicine and helps to feel grounded and connected to something bigger than yourself,tp008
0,in this modern world I think nature deserv that!,tp008
1,i dont know why its not already the case,tp008
0,-,tp008
1,-,tp008
1,if a wide variety of options are available there could be something for everyonet hat doesnt sour their relationship with nature. its important that the give back options are not trivial are backed up by good conservation science and not be at the employees expence,tp008
1,it would be cool,tp008
0,-,tp008
4,-,tp008
1,-,tp008
1,-,tp008
0,we should reconnect the modern society to the land and the water that host us,tp008
1,I hope we could learn fromlockdown that they  are newways of working for both people wellbeing and planet health.,tp008
0,-,tp008
1,-,tp008
1,-,tp008
1,i love to be good,tp008
1,-,tp008
0,-,tp008
2,i dont really care because i am 8,tp008
0,### is cool,tp008
4,i died in minecraft,tp008
0,it would reduce stress,tp008
